workload,mem_limit,context-switches,L1-dcache-misses,cycles,page-faults,LLC-misses,instructions
disk_io,128,200.0,24204378.0,20873015182.0,2057141.0,6084334.0,14869041347.0
disk_io,128,150.0,21930121.0,22774187497.0,1966212.0,5939527.0,16755122912.0
disk_io,128,166.0,22065314.0,18626487932.0,1982596.0,5574628.0,14052320669.0
disk_io,256,172.0,35351206.0,33215954891.0,3145835.0,8647673.0,23775600614.0
disk_io,256,138.0,35532221.0,25512470311.0,3145833.0,8971277.0,19892767222.0
disk_io,256,154.0,36324262.0,28337094498.0,3145835.0,9415303.0,20867849332.0
disk_io,512,130.0,51267823.0,42662225375.0,4390989.0,13316324.0,30628374534.0
disk_io,512,139.0,50467080.0,40459401670.0,4390992.0,13584221.0,28822434445.0
disk_io,512,124.0,52662066.0,47132551201.0,4456527.0,13811691.0,32553507989.0
disk_io,1024,86.0,63405608.0,28859492388.0,5636151.0,16698832.0,24240971893.0
disk_io,1024,96.0,63018105.0,28834413573.0,5636150.0,16673849.0,24240706821.0
disk_io,1024,92.0,65245440.0,34702858917.0,5636150.0,16822045.0,26398259793.0
matrix,128,162.0,22234431.0,21785093890.0,1949827.0,5753919.0,16007162422.0
matrix,128,148.0,21559521.0,14138926324.0,1949827.0,5773201.0,11625054357.0
matrix,128,141.0,21901863.0,21189663609.0,1966212.0,5533212.0,15685831380.0
matrix,256,122.0,34539055.0,15717322960.0,3113065.0,9883489.0,13399139106.0
matrix,256,147.0,35703823.0,20061886129.0,3145834.0,9599371.0,15990123977.0
matrix,256,132.0,34658864.0,15862154528.0,3145835.0,9849509.0,13539870961.0
matrix,512,113.0,50003426.0,22731614559.0,4456528.0,13185958.0,19171504323.0
matrix,512,104.0,50732052.0,22742937188.0,4456526.0,13525196.0,19171699167.0
matrix,512,106.0,50430293.0,22734146030.0,4456528.0,13564141.0,19171568218.0
matrix,1024,97.0,62971398.0,28638537274.0,5505078.0,16191884.0,23676927957.0
matrix,1024,97.0,64513795.0,41518652960.0,5636150.0,16833878.0,32822722291.0
matrix,1024,99.0,66933171.0,28852620678.0,5636152.0,16654964.0,24240471237.0
memory_touch,128,147.0,22025243.0,14204926109.0,1966210.0,5686087.0,11686074731.0
memory_touch,128,152.0,22240802.0,12158705510.0,1966209.0,5683362.0,8807748897.0
memory_touch,128,157.0,22268832.0,24805957104.0,1966210.0,5987015.0,17447158372.0
memory_touch,256,130.0,35265764.0,20594669151.0,3145835.0,9892043.0,16904304089.0
memory_touch,256,133.0,35461563.0,20328323884.0,3113066.0,9698475.0,16677541510.0
memory_touch,256,125.0,35401127.0,15873258466.0,3145833.0,9923992.0,13539751961.0
memory_touch,512,113.0,50241628.0,48259002192.0,4456528.0,13509079.0,35083389533.0
memory_touch,512,105.0,51153686.0,22750442445.0,4456526.0,13822575.0,19171772218.0
memory_touch,512,107.0,51220817.0,22704229220.0,4456526.0,13131816.0,19172123748.0
memory_touch,1024,87.0,64571847.0,28817803620.0,5636150.0,16555801.0,24240693052.0
memory_touch,1024,98.0,63425547.0,28839750343.0,5636152.0,17068335.0,24240548070.0
memory_touch,1024,82.0,63621584.0,28865172777.0,5636151.0,16841785.0,24241281174.0
